code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
HS.A-REI.D.10,HS.G-GPE.A.1,518,597
HS.A-REI.D.10,HS.G-GPE.A.2,518,598
HS.A-REI.D.10,HS.G-GPE.A.3,518,599
HS.A-REI.D.12,HS.A-CED.A.3,520,505
HS.A-SSE.A.1,HS.A-CED.A.1,521,503
HS.A-SSE.A.1,HS.A-CED.A.2,521,504
HS.A-SSE.A.1,HS.A-CED.A.3,521,505
HS.A-SSE.A.1,HS.A-CED.A.4,521,506
HS.A-SSE.A.1,HS.F-LE.B.5,521,565
HS.A-SSE.A.2,HS.A-APR.C.4,524,499
HS.A-SSE.A.2,HS.A-APR.C.5,524,500
HS.A-SSE.A.2,HS.A-APR.D.6,524,501
HS.A-SSE.A.2,HS.A-APR.D.7,524,502
HS.A-SSE.A.2,HS.A-SSE.B.4,524,529
HS.A-SSE.A.2,HS.N-CN.C.8,524,627
HS.A-SSE.B.3.a,HS.A-APR.B.2,526,497
HS.G-SRT.A.1,HS.G-CO.A.5,607,584
HS.G-SRT.A.1,HS.G-SRT.A.2,607,610
HS.G-SRT.A.2,HS.G-C.A.1,610,575
HS.G-SRT.A.2,HS.G-C.B.5,610,579
HS.G-SRT.A.2,HS.G-SRT.A.3,610,611
HS.G-SRT.A.3,HS.G-SRT.B.4,611,612
HS.G-SRT.A.3,HS.G-SRT.B.5,611,613
HS.G-SRT.A.3,HS.G-SRT.C.6,611,614
HS.G-SRT.B.5,HS.F-TF.C.9,613,574
HS.G-SRT.B.5,HS.G-GPE.B.5,613,601
HS.G-SRT.B.5,HS.G-GPE.B.6,613,602
HS.G-SRT.C.6,HS.F-TF.A.2,614,567
HS.G-SRT.C.6,HS.F-TF.C.8,614,573
HS.G-SRT.C.6,HS.F-TF.C.9,614,574
HS.G-SRT.C.6,HS.G-SRT.C.7,614,615
HS.G-SRT.C.6,HS.G-SRT.C.8,614,616
HS.G-SRT.C.6,HS.G-SRT.D.9,614,619
HS.G-SRT.C.7,HS.F-TF.A.3,615,568
HS.G-SRT.C.7,HS.G-SRT.C.8,615,616
HS.G-SRT.C.8,HS.G-SRT.D.10,616,617
HS.G-SRT.C.8,HS.G-SRT.D.11,616,618
HS.N-CN.A.1,HS.N-CN.A.2,620,621
HS.N-CN.A.1,HS.N-CN.B.4,620,623
HS.N-CN.A.1,HS.N-CN.C.7,620,626
HS.N-CN.A.2,HS.N-CN.A.3,621,622
HS.N-CN.A.2,HS.N-CN.C.7,621,626
HS.N-CN.A.2,HS.N-CN.C.8,621,627
HS.N-CN.A.3,HS.N-CN.B.4,622,623
HS.N-CN.A.3,HS.N-CN.B.5,622,624
HS.N-CN.B.4,HS.N-CN.B.5,623,624
HS.N-CN.B.5,HS.N-CN.B.6,624,625
HS.N-CN.C.7,HS.N-CN.C.9,626,628
HS.N-CN.C.8,HS.N-CN.C.9,627,628
HS.N-RN.A.1,HS.N-RN.A.2,632,633
HS.N-RN.A.2,HS.A-REI.A.2,633,508
HS.N-RN.A.2,HS.A-SSE.B.3.c,633,528
HS.N-RN.A.2,HS.F-IF.C.8.b,633,556
HS.N-RN.B.3,HS.N-CN.A.1,634,620
HS.F-TF.A.1,HS.F-TF.A.2,566,567
HS.F-TF.A.2,HS.F-TF.A.4,567,569
HS.F-TF.A.2,HS.F-TF.B.5,567,570
HS.F-TF.A.2,HS.F-TF.B.6,567,571
HS.F-TF.A.2,HS.F-TF.C.8,567,573
HS.F-TF.A.2,HS.F-TF.C.9,567,574
HS.F-TF.B.5,HS.F-TF.B.7,570,572
HS.F-TF.B.6,HS.F-TF.B.7,571,572
HS.F-TF.C.9,HS.N-CN.B.5,574,624
